,creator_id,creator_name,membership_name,membership_desc,num_of_subs
95,67,ddongHandCanDoIt,we can do it,영양가 있는 듯한 없는 듯한 있는 듯한 멤버십,0
96,68,dalgoongjun,달궁전+,작업하면서 알게 된 것들 공유하려고요 :),0
97,69,페미니즘 캘린더,캘린더 구독자,페미니즘 캘린더와 함께 걸어주세요.,0
98,70,베니수,간식 주는 사람,찰랑이로 최애 적금을 만들었다...물 마시면 천 원. 알뜰하게 모아서 찰랑이 간식 줄래요.,0
99,71,크리에이터스랩,랩멤버,창작활동 지원 컨텐츠를 만드는 크리에이터스랩 입니다. 랩멤버로 초대합니다.,0
100,1,전인,전인미답,너는 어디까지 가봤어?,0
101,1,전인,전진,전인을 한 걸음 더 전진시킴,0
102,44,썬게임즈,해보자 시즌2,따뜻한 관심과 응원,0
103,72,도넛맛보름달,소소한 웃음 Dream,,0
104,73,슴슴책방,슴슴소설,뭐가 됐든 재미있는 소설을 연재해요. 단편이고 그때 그때 소재나 주제가 바뀌는 재미가 쏠쏠,0
105,73,슴슴책방,슴슴편지,"대상 없는 편지를 발행해요. 어느날은 연인에게, 어느날은 친구에게, 어느날은 나에게.",0
106,74,김쐥,메추리,매월 김쐥 직사각형 엽서 1장의 가격으로 조금은 사적인 저의 창작 생활을 공유합니다.,0
107,75,퍼엉,미리보기 (Early Access),퍼엉의 새로운 애니메이션을 미리 만나보세요.,0
108,76,셀프(Self),pathfinder,자신의 빛을 찾아 개척하는 존재들을 위한. 제 기록을 간직해보세요.,0
109,77,송아론,팬심 후원,팬심으로 후원. 송아론의 목소리 오디오 녹음과 프리미엄 혜택을 드립니다.,0
110,77,송아론,프리미엄,모든 펀딩 프로젝트 작업 과정과 그외 글들을 독점 공개 합니다.,0
111,77,송아론,베이직,텀블벅 및 와디즈에서 하는 프로젝트 원고(초고)를 처음부터 끝까지 미리 볼 수 있습니다.,0
112,78,피터캣,테스트,테스트,0
113,52,커뮤니티알,알파카,커뮤니티알 운영비용으로 사용됩니다.,0
114,52,커뮤니티알,알파카,커뮤니티알 운영비용으로 사용됩니다.,0
115,52,커뮤니티알,알파카,커뮤니티알 운영비용으로 사용됩니다.,0
116,52,커뮤니티알,알파카,커뮤니티알 운영비용으로 사용됩니다.,0
117,79,해피소드,초면이지만 펜이 되어 볼래요!,해피소드를 처음 알게 되셨나요? 저도 반가워요! 뜨개질+바느질 기초작품을 함께해요!,0
118,80,새봄,연결하는 배경지식 구독,,0
119,81,김당케,같이듣자,,0
120,82,쓸림,쓰기-클럽 1기 얼리버드,"한 달간 모임원들과 사유를 공유하며, 짧은 소설을 완성하도록 합니다.",0
121,83,arts.asp,기요미,"패턴, 일러스트레이션, 순수예술 멍때리기 예쁜 그림입니다.",0
122,84,siwoo,moody,"사진을 즐기고자 하는 사람과 에세이, 조각글이 담겨 있습니다.",0
123,85,시마과장,시마북클럽 Basic,요리책  관련 정보 독점 제공,0
124,85,시마과장,시마북클럽 Premium,요리책  관련 정보 독점 제공,0
125,54,듀플리시티,꾸준한 소식,전통 관련 창작 일러스트를 그립니다.,0
126,86,닷텍스트 스튜디오,닷텍스트 멤버십,채찍과 당근이 없으면 콘텐츠 제작이 어려운 이들을 위해,0
127,87,언더독 게임즈 KIMKUN,언더독스,언더독 게임즈를 응원하시는 기본 멤버십입니다!,0
128,88,올레비엔,책린지,매일 글쓰기 인증 책린지,0
129,89,폴더블 아이디어스,출판기획 맛보기 클래스,"첫 책이 나오는 순간까지, 일단 한번 발만 담궈보아요",0
130,90,다미드림,프로 구독자님,그림 풀버전 선공개 및 실물 굿즈 월1회 멤버십 혜택,0
131,90,다미드림,게시글 구독만,자유롭게 관람가능 선물 미포함,0
132,91,츄이베이커리,chew chew membership,"한달에 한번, 예쁘게 포장 된 디저트 박스를 선물처럼 받아보세요 달달함을 선물해드릴게요!",0
133,92,나무영,전자책 러버,공유누리 고전어문을 아름답고 가독성 있는 디자인을 입혀 무료 전자책으로 만들 예정입니다.,0
134,93,이레,멋진 주말에 투자하기,구독해주시면 보다 더 좋은 후기를 들고 올 수 있습니다!,0
135,93,이레,일상 & 정보 공유,일상을 보다 적극적으로 공유해요!,0
136,94,더슬랭,더슬랭 100% 즐기기,더슬랭에게 매달 초코칩쿠키를 하나 사줘요.,0
137,95,다래네식탁,다래네식탁 VIP 멤버십,다래네식탁에서 7천만 후원을 달성한 맛있는  순살게장을 매월 정기적으로 보내드려요!,0
138,96,망각 L'oublier,망각의 세계를 유영하며,"보다 다양하고 일상적, 직업적인 이야기를 씁니다. 작지만 특별한 향과 함께합니다.",0
139,97,한장,한장이의 최저시급 프로젝트,한장이를 알바로 쓰는 사장님이 되어보세요!,0
140,98,갤러리 우갱,인문학 계정 매니아,,0
141,98,갤러리 우갱,예담 호선생 마니아,예담 호선생의 모험을 응원하는 맵버쉽입니다.,0
142,99,김지양,엉엉 우는 법을 잊은 나에게,엉엉 우는 법을 잊은 나에게 오디오북 맛보기,0
143,100,말광,우리말 달인,,0
144,101,핫콘숩,커피 한 잔☕️,연한 아메리카노 한 잔,0
145,102,심안,나의 꿈이 이뤄지길,"모든 후원금액은 박정민 작가의 작업, 전시회 등의 작품활동에 사용됩니다.",0
146,102,심안,꿈이 아닌 현실을,,0
147,102,심안,너의 낭만을 응원해,,0
148,103,쏘왓,쏘스(So's),지속가능한 패션브랜드 쏘왓이 제안하는 지속 가능한 패션 정보를 구독합니다♥,0
149,104,서울외계인,월간 정기구독,정기구독 테스트중입니다...,0
150,56,Earlybird music,작곡 비대면 코칭(카톡 실시간) 멤버,작곡 관련 커뮤니케이션 진행 및 개인톡 상담,0
151,56,Earlybird music,미디작곡 강의(대면or비대면 선택),"미디작곡 대면 강의(서울, 경기) 희망자에 한해 받습니다.(평일저녁/ 주말오전/ 주말오후)",0
152,105,르파써,Olympos,"WITH, LE PASSEUR",0
153,106,양바리스타,카페창업을 희망하는 예비사업자,카페 창업과 운영 그리고 커피에 관련된 다양한 실무와 현안에 대한 정보를 공유합니다.,0
154,107,민티,민티 클럽 하우스 멤버,작가의 신제품 개발을 응원하면 작가는 감사해서 쿠폰을 드리지요 :D,0
155,108,권등대,이것저것달라,넵 글과 글씨를 드릴게요!,0
156,108,권등대,이것이것저것저것달라,넵 글과 글씨와 편지와 영상을 드릴게요!,0
157,109,그냥,test,,0
158,110,ㅂㅈㄱ,'나다움'을 찾으러 함께 가는 동료,'나다움'을 찾는 험난한 항해를 함께할 동료가 되어주세요 :),0
159,111,회사생활비법노트,회사생활 비법노트 프렌즈,프렌즈 등급,0
160,112,진앤클레어,진앤클레어 VIP,맞춤 제작부터 특별한 선물까지 다양한 혜택을 오직 VIP 맴버에게 드립니다!,0
161,113,루파고,심장에 굳은살이 박였다,어렵고 힘들 때 힘이 되는 글,0
162,114,DGK,sdflksldfj,lskdhfsdlfbslkf,0
163,115,곽예인,관심과 사랑,네 명이 모이면 필름 하나를 삽니다,0
164,116,털프매거진(튤립매거진),구독하지마세요,구독금지,0
165,117,크크,햄버거,,0
166,118,이마엘,당듣공쓰! 미리보기 패키지,"당신을 듣다, 공감을 쓰다! 및 다양한 내용을 먼저 만나보실 수 있어요!",0
167,119,강리,오늘의 전시,,0
168,120,누구야,초보 블로그 글쓰기 하루에 하나씩,한 달 글 30개 작성하는 것이 목표 같이 티스토리 블로그에 글 쓰기와 노하우를 공유합시다,0
169,121,짠구,1,1,0
170,46,June Green / 지국,꾹 미 아웃,꾹이를 꺼내어줘,0
171,46,June Green / 지국,꾹 미 두,꾹이를 사랑해줘,0
172,122,희류,희류서포터즈,,0
173,123,지방이,한 달에 주제 하나,제 일상의 것들을 적습니다. 아주 평범하지는 않습니다.,0
174,124,깊(Gipp),Bonanza Club,독점 공개 컨텐츠 제공과 멤버들과의 소통을 통한 작품 제작,0
175,125,스테르담,매주 통찰 가득한 글감을 드립니다.,"바쁜 일주일, 나를 위한 글 하나는 남겨야죠. 일상을 달리 보는 특별한 글감을 드립니다.",0
176,126,law lex,셀리니즈,,0
177,127,아빠사자 [papasaza],톨 사자,,0
178,127,아빠사자 [papasaza],그란데 사자,,0
179,127,아빠사자 [papasaza],벤티 사자,,0
180,127,아빠사자 [papasaza],트렌타 사자,,0
181,127,아빠사자 [papasaza],골드 사자,,0
182,127,아빠사자 [papasaza],다이아몬드 사자,,0
183,128,임새련,우리의 색채,찬연한 색채와 섬세한 정서가 흐르는 짧은 글을 씁니다.,0
184,129,너바나힐링,너바나힐링의 해탈메이트,너바나힐링의 해탈메이트에 가입을 기다립니다^^  함께해주시는 분들께 혜택을 드립니다.,0
185,130,Mut,지주,,0
186,131,쏘다,일상망각 비밀 콘텐츠,,0
187,132,Director V,탐험가 V,Director V 의 머릿속을 탐험하시겠습니까?,0
188,133,kinzie,단돈,,0
189,134,수무,수무의 은밀한 수작log,"수무의 작업과정과 일상, 웹툰 비하인드를 합친 수작로그!",0
190,135,우딕,with woothic,우딕 고민의 흔적 나누며 새로움을 같이 만들어 갑니다.,0
191,136,말티즈 대치동 두부,말티즈 대치동 두부 팬클럽,말티즈 대치동 두부의 멤버쉽입니다. 멤버쉽 전용 사진/동영상 등이 업로드됩니다.,0
192,137,성해,커피우유 한 잔 마셔보겠습니다..,제 글을 한 번 읽어보시겠습니까?,0
193,138,투미-아이브러디,투미 고용하기,투미를 월 4900원에 고용하세요! 여러분을 위해 투미가 여러 해택을 제공합니다.,0
194,139,유타,인스타그램 콘텐츠 제작 비하인드,"콘텐츠 뒤의 비하인드 스토리를 나눕니다. 기획, 분석, 편집, 업로드까지!",0
195,140,카카오다다,Test 1,Test 1,0
196,141,에시리,선구자,당신은 선구자입니다.,0
197,142,무브온투더넥스트,얼리 어답터,정말 고마워요! 여러분의 후원은 마로가 계속해서 멋진 앱을 만들 수 있도록 도와줍니다!,0
198,143,FRESHBABY23,베스트프렌드+,매 월 원하는 제품을 받아보고 미리 신제품을 만나볼 수 있어요,0
199,144,Satisfying,이기는 자리에서 트레이딩하기 강의,"아무도 제대로 알려주지않은 정통 주식의 기초부터~프로트레이딩 매매기술과 코칭,브리핑, 제공",0
200,145,김무비(MOVIE),무비무비짱짱맨,싸랑해용,0
201,146,블럭,파트장,원래 업무일지는 각 파트장이 결재하는 것이기 때문에... 여러분은 결제하지만요,0
202,147,BananaSoup,커피값,대회 운영 할 때 집중할 수 있게 커피 한잔을 사줄 수 있습니다. 감사합니다.,0
203,148,말랑,FAN,말랑의 팬임을 자처하는 멤버십,0
204,149,로버트,커피한잔,아두이노 관련 교육자료를 매월 4건  이상 공유해 드립니다.,0
205,150,어니스트쥬디,벼: Rice,어니스트쥬디 찐팬,0
206,151,엘리 Elys,함께 그려요 l 그림 습관 만들기,함께 그림을 그리면서 소통하는 공간,0
207,152,김현경,BIPOLAR : 조울증과 하루들,조울증을 겪으며 살아가는 삶에 대해 만화와 에세이로 이야기합니다.,0
208,153,최우식,칭구들,스타트업 전반에 관련된 글을 공유하고 이야기를 나눕니다.,0
209,154,강신원,참방참방,잔잔한 시의 물결에 발을 담가봐요.,0
210,155,김성진,랑과 인생의 주사위,소설 랑과 인생의 주사위를 매주 보실 수 있습니다,0
211,156,마교소졸,소졸에게 철전 적선하기,제가 아이스크림을 사 먹습니다,0
212,156,마교소졸,소졸에게 동전 적선하기,제가 커피를 사 먹습니다,0
213,156,마교소졸,소졸에게 은전 적선하기,제가 햄버거 단품을 사 먹습니다,0
214,156,마교소졸,무명소졸이 번왕께 감사를 올립니다,제가 고깃점좀 씹습니다,0
215,157,인생초년생_가장집사,인생초년생,,0
216,158,봄날에,테스트,테스트,0
217,159,용용,월 기본 멤버십,,0
218,160,온작가,맘맘쓰담 글쓰기,,0
219,161,herd_and_heart,허드앤허트 콘텐츠 구독 멤버십,허드앤허트의 홀스맨쉽 콘텐츠를 통해 말과 소통하고 말과 함께 성장하는 방법을 익혀보세요,0
220,162,보이드웍스,사료 한 줌,Voydworks와 함께해주셔서 감사합니다. 귀하의 응원은 창작 활동에 큰 힘이 됩니다.,0
221,162,보이드웍스,츄르 한 다발,Voydworks와 함께해주셔서 감사합니다. 귀하의 응원은 창작 활동에 큰 힘이 됩니다.,0
222,162,보이드웍스,사료 한 포대,Voydworks와 함께해주셔서 감사합니다. 귀하의 응원은 창작 활동에 큰 힘이 됩니다.,0
223,163,뿜뿜이,123,123,0
224,164,smith,첫번째 멤버십,,0
225,165,소리 동화,오디오북 작가 모임,,0
226,166,SUKJU,마음으로 응원하기,DIARY_B 기본 멤버쉽,0
227,166,SUKJU,[일반] 서포터즈,DIARY_B의 음원 활동을 도와주시는 고마운 팬 분들을 위한 멤버쉽 입니다.,0
228,166,SUKJU,[스페셜] 서포터즈,DIARY_B의 특별한 팬들을 위한 멤버쉽,0
229,167,EOK이강옥,일반,소셜대장정은 깨어있음을 바탕으로  세상을 디자인합니다.,0
230,167,EOK이강옥,SILVER,소셜대장정은 깨어있음을 바탕으로  세상을 디자인합니다. 문화기획. 함께사는공동체기획,0
231,167,EOK이강옥,GOLD,소셜대장정은 깨어있음을 바탕으로  세상을 디자인합니다. 문화기획. 함께사는공동체기획,0
232,167,EOK이강옥,VIP,소셜대장정은 깨어있음을 바탕으로  세상을 디자인합니다. 문화기획. 함께사는공동체기획,0
233,168,캐논 아이지,후원자,캐논 아이지 피아노 음악 감상자,0
234,169,김홍준(joon),테스트모임,글 테스트 모임입니다,0
235,170,bopuri_global,보푸리_날개,,0
236,171,냐기월드,꾸링내나는 모임,"작업 비하인드와 소소한 일상이야기 굿즈 소식, 이모티콘 소식을 먼저 만나보세요!",0
237,172,scences of yeon,연의 독자,연의 장면 멤버 전용 컨텐츠를 구독하실 수 있습니다.,0
238,173,Ruby,test,,0
239,174,호지,모닝 리추얼,스트레칭 후 명상하기,0
240,175,로공백,말차라떼,매달 말차라떼 한 잔씩 후원해 주시면 글 쓸 때 큰 힘이 됩니다 :),0
241,176,데이문프레스,test 에세이 클럽,같이씁니다. 에세이,0
242,176,데이문프레스,test 프롬프트박스,조금은 어색한 그에게 안부를 남기세요.,0
243,177,스페이스,오픈컨택 - 을 준비하는 사람들,외계문명과의 열린 대중적 공개적 만남을 준비하고 후원하는 멤버십,0
